========== FILE: canara1m.pdf ==========


======= PAGE 1 =======

text='18:43:16'                               x0=  106.6 x1=  153.3 top=  544.5 bottom=  556.5
text='Chq:'                                   x0=  106.6 x1=  132.0 top=  568.5 bottom=  580.5
text='540264751200'                           x0=  135.3 x1=  215.4 top=  568.5 bottom=  580.5
text='UPI/DR/659731517016/VINOD'              x0=  106.6 x1=  272.0 top=  592.5 bottom=  604.5
text='KUM/YESB/**09384@YBL/PAY'               x0=  106.6 x1=  276.9 top=  604.5 bottom=  616.5
text='MENT'                                   x0=  106.6 x1=  140.6 top=  616.5 bottom=  628.5
text='//AXL670C051A83C94C2290E2A'             x0=  106.6 x1=  286.1 top=  628.5 bottom=  640.5
text='26-11-2025'                             x0=   26.6 x1=   87.9 top=  634.5 bottom=  646.5
text='15.00'                                  x0=  460.3 x1=  490.4 top=  634.5 bottom=  646.5
text='1,285.34'                               x0=  534.5 x1=  581.2 top=  634.5 bottom=  646.5
text='30EC624D470/26/11/2025'                 x0=  106.6 x1=  248.7 top=  640.5 bottom=  652.5
text='07:56:06'                               x0=  106.6 x1=  153.3 top=  652.5 bottom=  664.5
text='Chq:'                                   x0=  106.6 x1=  132.0 top=  676.5 bottom=  688.5
text='659731517016'                           x0=  135.3 x1=  215.4 top=  676.5 bottom=  688.5
text='UPI/DR/607630057581/VINOD'              x0=  106.6 x1=  272.0 top=  700.5 bottom=  712.5
text='KUM/YESB/**09384@YBL/PAY'               x0=  106.6 x1=  276.9 top=  712.5 bottom=  724.5
text='MENT'                                   x0=  106.6 x1=  140.6 top=  724.5 bottom=  736.5
text='//AXL8493B68C32094EFBB31F7'             x0=  106.6 x1=  284.7 top=  736.5 bottom=  748.5
text='26-11-2025'                             x0=   26.6 x1=   87.9 top=  742.5 bottom=  754.5
text='5.00'                                   x0=  467.0 x1=  490.4 top=  742.5 bottom=  754.5
text='1,280.34'                               x0=  534.5 x1=  581.2 top=  742.5 bottom=  754.5
text='EE327392E4F/26/11/2025'                 x0=  106.6 x1=  248.1 top=  748.5 bottom=  760.5
text='07:56:36'                               x0=  106.6 x1=  153.3 top=  760.5 bottom=  772.5
text='Chq:'                                   x0=  106.6 x1=  132.0 top=  784.5 bottom=  796.5
text='607630057581'                           x0=  135.3 x1=  215.4 top=  784.5 bottom=  796.5
text='page'                                   x0=  531.6 x1=  558.3 top=  802.5 bottom=  814.5
text='2'                                      x0=  561.7 x1=  568.3 top=  802.5 bottom=  814.5

======= PAGE 3 =======

text='Date'                                   x0=   43.6 x1=   68.9 top=   40.5 bottom=   52.5
text='Particulars'                            x0=  167.1 x1=  223.8 top=   40.5 bottom=   52.5
text='Deposits'                               x0=  320.6 x1=  367.2 top=   40.5 bottom=   52.5
text='Withdrawals'                            x0=  413.3 x1=  478.6 top=   40.5 bottom=   52.5
text='Balance'                                x0=  517.1 x1=  560.4 top=   40.5 bottom=   52.5
text='UPI/DR/994042195055/SHEELU'             x0=  106.6 x1=  282.1 top=   64.5 bottom=   76.5
text='KU/PUNB/**902-'                         x0=  106.6 x1=  196.7 top=   76.5 bottom=   88.5
text='1@OKAXIS/PAYMENT'                       x0=  106.6 x1=  231.5 top=   88.5 bottom=  100.5
text='//YBL18CC1CF1F24B4172B9866'             x0=  106.6 x1=  286.1 top=  100.5 bottom=  112.5
text='26-11-2025'                             x0=   26.6 x1=   87.9 top=  106.5 bottom=  118.5
text='30.00'                                  x0=  460.3 x1=  490.4 top=  106.5 bottom=  118.5
text='1,250.34'                               x0=  534.5 x1=  581.2 top=  106.5 bottom=  118.5
text='462763FD6FC/26/11/2025'                 x0=  106.6 x1=  248.7 top=  112.5 bottom=  124.5
text='08:43:32'                               x0=  106.6 x1=  153.3 top=  124.5 bottom=  136.5
text='Chq:'                                   x0=  106.6 x1=  132.0 top=  148.5 bottom=  160.5
text='994042195055'                           x0=  135.3 x1=  215.4 top=  148.5 bottom=  160.5
text='UPI/CR/569653418142/VAIBHAV'            x0=  106.6 x1=  286.1 top=  172.5 bottom=  184.5
text='I'                                      x0=  106.6 x1=  110.0 top=  184.5 bottom=  196.5
text='/SBIN/**VI379@OKAXIS/UPI//AX'           x0=  106.6 x1=  284.9 top=  196.5 bottom=  208.5
text='26-11-2025'                             x0=   26.6 x1=   87.9 top=  208.5 bottom=  220.5
text='I8753E3B9F5E147A9B978DC63'              x0=  106.6 x1=  281.4 top=  208.5 bottom=  220.5
text='70.00'                                  x0=  365.6 x1=  395.6 top=  208.5 bottom=  220.5
text='1,320.34'                               x0=  534.5 x1=  581.2 top=  208.5 bottom=  220.5
text='8987E28D/26/11/2025'                    x0=  106.6 x1=  226.7 top=  220.5 bottom=  232.5
text='08:50:03'                               x0=  230.1 x1=  276.8 top=  220.5 bottom=  232.5
text='Chq:'                                   x0=  106.6 x1=  132.0 top=  244.5 bottom=  256.5
text='569653418142'                           x0=  135.3 x1=  215.4 top=  244.5 bottom=  256.5
text='UPI/DR/393916061066/DEEPAK'             x0=  106.6 x1=  282.7 top=  268.5 bottom=  280.5
text='GA/YESB/**81546@YBL/PAYME'              x0=  106.6 x1=  285.6 top=  280.5 bottom=  292.5
text='NT'                                     x0=  106.6 x1=  122.6 top=  292.5 bottom=  304.5
text='//AXL8159F0BF0B874899951AD'             x0=  106.6 x1=  283.4 top=  304.5 bottom=  316.5
text='26-11-2025'                             x0=   26.6 x1=   87.9 top=  310.5 bottom=  322.5
text='40.00'                                  x0=  460.3 x1=  490.4 top=  310.5 bottom=  322.5
text='1,280.34'                               x0=  534.5 x1=  581.2 top=  310.5 bottom=  322.5
text='E867B5FEFAC/26/11/2025'                 x0=  106.6 x1=  252.1 top=  316.5 bottom=  328.5
text='09:02:56'                               x0=  106.6 x1=  153.3 top=  328.5 bottom=  340.5
text='Chq:'                                   x0=  106.6 x1=  132.0 top=  352.5 bottom=  364.5
text='393916061066'                           x0=  135.3 x1=  215.4 top=  352.5 bottom=  364.5
text='UPI/DR/382575020697/RAJESH'             x0=  106.6 x1=  281.4 top=  376.5 bottom=  388.5
text='KU/YESB/**YHJDW@PAYTM/P'                x0=  106.6 x1=  278.9 top=  388.5 bottom=  400.5
text='AYMENT'                                 x0=  106.6 x1=  156.6 top=  400.5 bottom=  412.5
text='//IBL45474F89778140E1BA696F'            x0=  106.6 x1=  283.4 top=  412.5 bottom=  424.5
text='26-11-2025'                             x0=   26.6 x1=   87.9 top=  418.5 bottom=  430.5
text='40.00'                                  x0=  460.3 x1=  490.4 top=  418.5 bottom=  430.5
text='1,240.34'                               x0=  534.5 x1=  581.2 top=  418.5 bottom=  430.5
text='F74F026143/26/11/2025'                  x0=  106.6 x1=  238.1 top=  424.5 bottom=  436.5
text='14:14:13'                               x0=  106.6 x1=  153.3 top=  436.5 bottom=  448.5
text='Chq:'                                   x0=  106.6 x1=  132.0 top=  460.5 bottom=  472.5
text='382575020697'                           x0=  135.3 x1=  215.4 top=  460.5 bottom=  472.5
text='UPI/DR/438123925811/BRAJNA'             x0=  106.6 x1=  281.4 top=  484.5 bottom=  496.5
text='TH/YESB/**T7Z1Y@PTY/PAYM'               x0=  106.6 x1=  279.5 top=  496.5 bottom=  508.5
text='ENT'                                    x0=  106.6 x1=  130.6 top=  508.5 bottom=  520.5
text='//YBL51FD500F22B9412A86915'             x0=  106.6 x1=  282.1 top=  520.5 bottom=  532.5
text='27-11-2025'                             x0=   26.6 x1=   87.9 top=  526.5 bottom=  538.5
text='25.00'                                  x0=  460.3 x1=  490.4 top=  526.5 bottom=  538.5
text='1,215.34'                               x0=  534.5 x1=  581.2 top=  526.5 bottom=  538.5
text='C27E321D830/27/11/2025'                 x0=  106.6 x1=  248.7 top=  532.5 bottom=  544.5
text='01:34:13'                               x0=  106.6 x1=  153.3 top=  544.5 bottom=  556.5
text='Chq:'                                   x0=  106.6 x1=  132.0 top=  568.5 bottom=  580.5
text='438123925811'                           x0=  135.3 x1=  215.4 top=  568.5 bottom=  580.5
text='UPI/DR/585231620649/CHARAN'             x0=  106.6 x1=  284.7 top=  592.5 bottom=  604.5
text='SI/YESB/**Z1785@PTYS/PAYM'              x0=  106.6 x1=  280.9 top=  604.5 bottom=  616.5
text='ENT'                                    x0=  106.6 x1=  130.6 top=  616.5 bottom=  628.5
text='//YBLDDC2F56D8614412D82E5'              x0=  106.6 x1=  281.4 top=  628.5 bottom=  640.5
text='27-11-2025'                             x0=   26.6 x1=   87.9 top=  634.5 bottom=  646.5
text='200.00'                                 x0=  453.7 x1=  490.4 top=  634.5 bottom=  646.5
text='1,015.34'                               x0=  534.5 x1=  581.2 top=  634.5 bottom=  646.5
text='BD672665D33D/27/11/2025'                x0=  106.6 x1=  257.4 top=  640.5 bottom=  652.5
text='01:45:27'                               x0=  106.6 x1=  153.3 top=  652.5 bottom=  664.5
text='Chq:'                                   x0=  106.6 x1=  132.0 top=  676.5 bottom=  688.5
text='585231620649'                           x0=  135.3 x1=  215.4 top=  676.5 bottom=  688.5
text='UPI/DR/743524217072/DMRC'               x0=  106.6 x1=  270.0 top=  700.5 bottom=  712.5
text='LIMI/ICIC/**C.ZKP@ICICI/PAYM'           x0=  106.6 x1=  282.2 top=  712.5 bottom=  724.5
text='ENT'                                    x0=  106.6 x1=  130.6 top=  724.5 bottom=  736.5
text='//YBLD1FCC02F2E854046A0681'             x0=  106.6 x1=  286.1 top=  736.5 bottom=  748.5
text='27-11-2025'                             x0=   26.6 x1=   87.9 top=  742.5 bottom=  754.5
